================================================================================
OPTİMİZASYON BAŞARILI — OPTIMAL
================================================================================

12_Mayis | Kütahya-Zonguldak | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-Zonguldak | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-Zonguldak | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-Zonguldak | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-Zonguldak | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-Zonguldak | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-Karaman | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kütahya-Karaman | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-Karaman | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-Karaman | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-Karaman | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-Karaman | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-Karaman | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-Denizli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kütahya-Denizli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-Denizli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-Denizli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-Denizli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-Denizli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-Denizli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kocaeli-Mersin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kocaeli-Mersin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
